license_id
bcrypt-Solar-Designer
copyleft-next-0.3.0
GPL-3.0-or-later
OGL-UK-3.0
ALGLIB-Documentation
DSDP
CDDL-1.0
GFDL-1.3-or-later
SSH-short
OLDAP-2.7
bzip2-1.0.5
BSD-3-Clause-HP
ASWF-Digital-Assets-1.0
GFDL-1.2
RPSL-1.0
NLPL
libtiff
EUDatagrid
PostgreSQL
FBM
AGPL-1.0-or-later
HPND-doc
UnixCrypt
Mup
ECL-2.0
BitTorrent-1.1
LAL-1.3
LGPL-2.1-only
AMPAS
CNRI-Python-GPL-Compatible
Rdisc
FreeBSD-DOC
HPND-Pbmplus
SMPPL
CrystalStacker
threeparttable
ICU
Spencer-94
ESA-PL-weak-copyleft-2.4
HPND-merchantability-variant
LZMA-SDK-9.11-to-9.20
CDL-1.0
ECL-1.0
OLDAP-2.2.2
Lucida-Bitmap-Fonts
OPL-UK-3.0
Unlicense-libwhirlpool
CC-BY-SA-2.1-JP
GLWTPL
ssh-keyscan
Sendmail-8.23
MIT-0
OGL-UK-1.0
GPL-2.0-with-font-exception
lsof
BSD-Source-Code
CAL-1.0
TCL
OpenPBS-2.3
TAPR-OHL-1.0
GD
BSD-3-Clause
Adobe-Glyph
BSD-3-Clause-Open-MPI
OLDAP-2.5
ODC-By-1.0
OLDAP-2.0
LGPL-2.0-only
NBPL-1.0
DOC
CC-BY-NC-ND-3.0-DE
AML
APSL-2.0
APSL-1.2
BSD-2-Clause-NetBSD
CC-BY-SA-3.0-IGO
HPND-UC
Spencer-99
Borceux
AFL-1.1
HPND-export-US-modify
QPL-1.0-INRIA-2004
CDLA-Permissive-2.0
GFDL-1.1-only
SL
LPPL-1.1
GPL-2.0-with-autoconf-exception
metamail
CDLA-Permissive-1.0
NAIST-2003
MPL-1.1
BSD-3-Clause-LBNL
D-FSL-1.0
TermReadKey
IPA
NIST-PD-TNT
NCBI-PD
BSD-3-Clause-Attribution
Aladdin
AFL-3.0
OpenSSL-standalone
libpng-2.0
Graphics-Gems
GFDL-1.3-invariants-only
mailprio
HP-1989
Gutmann
Frameworx-1.0
CC-BY-NC-ND-1.0
LGPL-2.0+
OFL-1.0-RFN
any-OSI
Spencer-86
HPND-UC-export-US
ADSL
etalab-2.0
AGPL-3.0
DL-DE-BY-2.0
TU-Berlin-1.0
Xnet
HPND-sell-variant
SCEA
Condor-1.1
MIT-testregex
BSD-4-Clause-Shortened
Pixar
OFL-1.0-no-RFN
magaz
CECILL-B
psfrag
Minpack
CC-BY-NC-SA-4.0
BSD-2-Clause-pkgconf-disclaimer
HPND-sell-variant-MIT-disclaimer-rev
GFDL-1.1-invariants-only
Brian-Gladman-3-Clause
MIT-Click
CERN-OHL-P-2.0
Furuseth
eCos-2.0
BSD-3-Clause-No-Nuclear-Warranty
SGI-OpenGL
Catharon
CC-BY-3.0-DE
RHeCos-1.1
GFDL-1.2-or-later
EFL-2.0
0BSD
Zeeff
GL2PS
NOSL
IBM-pibs
GFDL-1.1-invariants-or-later
Caldera
Dotseqn
HaskellReport
wxWindows
GCR-docs
mpich2
CC-BY-NC-SA-1.0
LGPL-3.0-or-later
LGPL-2.0-or-later
TGPPL-1.0
OFL-1.1-no-RFN
FSL-1.1-ALv2
TTWL
OLFL-1.3
GPL-2.0-or-later
Artistic-1.0-Perl
FreeImage
Clips
ZPL-2.1
Unicode-DFS-2016
BSL-1.0
NCL
OLDAP-2.0.1
HPND-INRIA-IMAG
BSD-Inferno-Nettverk
InnoSetup
swrule
HPND-sell-variant-MIT-disclaimer
CDLA-Sharing-1.0
GPL-1.0+
LPL-1.02
wwl
CC-BY-NC-SA-2.5
CC-BY-3.0-AU
VSL-1.0
SOFA
CECILL-C
MIT-enna
NTIA-PD
YPL-1.1
Linux-man-pages-copyleft-2-para
GPL-3.0-with-GCC-exception
xinetd
CC-BY-NC-ND-3.0
CC-BY-NC-ND-3.0-IGO
OLDAP-1.4
GPL-3.0-with-autoconf-exception
AGPL-1.0
CC-SA-1.0
python-ldap
GPL-2.0-with-bison-exception
Unicode-DFS-2015
AFL-1.2
GPL-1.0-only
AMD-newlib
OLDAP-1.3
CC-BY-SA-4.0
Vim
LPPL-1.0
ErlPL-1.1
Giftware
MIT-STK
fwlw
CC-BY-ND-1.0
CC-BY-3.0-IGO
NIST-PD
HPND-Fenneberg-Livingston
GFDL-1.2-no-invariants-or-later
CAL-1.0-Combined-Work-Exception
Knuth-CTAN
CC0-1.0
Saxpath
RPL-1.1
Beerware
Zed
DL-DE-ZERO-2.0
GFDL-1.1-no-invariants-or-later
AGPL-1.0-only
TTYP0
GPL-3.0
Fair
man2html
WTFNMFPL
CERN-OHL-W-2.0
Motosoto
SSPL-1.0
SAX-PD-2.0
BSD-4-Clause-UC
CECILL-1.0
Glulxe
MIT-CMU
OGL-Canada-2.0
NIST-PD-fallback
WordNet
SSLeay-standalone
MIT-feh
Adobe-2006
xpp
Artistic-1.0-cl8
Linux-OpenIB
Qhull
CC-PDM-1.0
Afmparse
Artistic-2.0
X11-swapped
TrustedQSL
Abstyles
NLOD-1.0
Mackerras-3-Clause-acknowledgment
GPL-2.0
TU-Berlin-2.0
GFDL-1.1
BSD-4.3RENO
GFDL-1.2-invariants-or-later
ZPL-2.0
DocBook-Schema
AMDPLPA
W3C-19980720
FSFAP
Aspell-RU
IJG-short
DRL-1.0
APAFML
CC-BY-ND-3.0-DE
EFL-1.0
WTFPL
Interbase-1.0
Inner-Net-2.0
CDDL-1.1
SGMLUG-PM
pkgconf
OGL-UK-2.0
ClArtistic
SHL-0.5
SMLNJ
MIT-advertising
MPL-2.0-no-copyleft-exception
RSCPL
X11-no-permit-persons
SAX-PD
Sleepycat
Brian-Gladman-2-Clause
mpi-permissive
CC-BY-SA-3.0
mplus
CC-BY-SA-2.0
GPL-2.0-only
checkmk
NPL-1.0
IJG
JPL-image
Unlicense
OFFIS
CC-BY-NC-SA-3.0
MS-RL
NCSA
DocBook-Stylesheet
NASA-1.3
pnmstitch
BSD-Source-beginning-file
LOOP
Linux-man-pages-copyleft
OSL-2.0
OLDAP-2.4
BSD-2-Clause-Patent
Caldera-no-preamble
libpng-1.6.35
X11-distribute-modifications-variant
CC-BY-1.0
Baekmuk
CC-BY-NC-SA-3.0-IGO
LGPL-3.0-only
URT-RLE
CPAL-1.0
Naumen
OCCT-PL
Xerox
OpenVision
Adobe-Utopia
Python-2.0.1
Apache-2.0
MIT-Festival
CC-BY-NC-ND-2.5
EUPL-1.2
gnuplot
OLDAP-2.2.1
OLDAP-2.3
Imlib2
Bitstream-Vera
bzip2-1.0.6
ODbL-1.0
OFL-1.1
Sun-PPP
FSFAP-no-warranty-disclaimer
Sendmail
GFDL-1.3
Multics
LiLiQ-R-1.1
CC-BY-NC-SA-3.0-DE
LZMA-SDK-9.22
PHP-3.01
Martin-Birgmeier
w3m
FSFULLRSD
Soundex
HTMLTIDY
SUL-1.0
APL-1.0
CC-BY-3.0-NL
LPL-1.0
Linux-man-pages-1-para
NetCDF
GPL-1.0
CNRI-Jython
HPND-sell-regexpr
CC-BY-NC-SA-2.0-UK
CC-BY-NC-SA-2.0-FR
Python-2.0
ulem
OLDAP-2.1
HPND-Netrek
MPEG-SSG
gtkbook
CERN-OHL-1.1
CC-BY-3.0-AT
SGP4
CC-BY-NC-ND-4.0
Watcom-1.0
CMU-Mach
GFDL-1.1-no-invariants-only
GFDL-1.3-no-invariants-only
LGPL-2.1-or-later
CC-BY-2.5
CECILL-2.1
Community-Spec-1.0
MakeIndex
ESA-PL-permissive-2.4
LiLiQ-Rplus-1.1
SugarCRM-1.1.3
CC-BY-3.0
LGPL-3.0+
xlock
PPL
DEC-3-Clause
TMate
OLDAP-2.6
TPDL
OpenSSL
Kastrup
X11
NTP
FSFULLRWD
McPhee-slideshow
NIST-Software
C-UDA-1.0
dtoa
softSurfer
Intel
dvipdfm
ThirdEye
GPL-3.0+
libselinux-1.0
SWL
HPND
Ferguson-Twofish
GFDL-1.1-or-later
IPL-1.0
JPNIC
DocBook-DTD
W3C-20150513
QPL-1.0
MS-PL
HPND-MIT-disclaimer
NPOSL-3.0
YPL-1.0
UCAR
TCP-wrappers
SHL-0.51
SGI-B-1.0
OSET-PL-2.1
PSF-2.0
BSD-3-Clause-No-Military-License
EPICS
CC-BY-ND-4.0
OGC-1.0
Apache-1.1
OLDAP-2.2
CC-PDDC
SISSL-1.2
SGI-B-1.1
UPL-1.0
BSD-4-Clause
PADL
Elastic-2.0
PolyForm-Small-Business-1.0.0
MITNFA
OPL-1.0
SPL-1.0
Cornell-Lossless-JPEG
Latex2e
LGPL-2.0
SGI-B-2.0
cve-tou
AdaCore-doc
SunPro
OLDAP-2.8
BSD-Advertising-Acknowledgement
PolyForm-Noncommercial-1.0.0
LGPLLR
Noweb
Artistic-1.0
any-OSI-perl-modules
